id,cluster
P55978864_rev_000923,37
P55978864_rev_000952,37
P510506_rev_000623,7
P55978864_rev_000950,36
P55978864_rev_000960,37
P510506_rev_000619,7
P55978864_rev_000949,37
P510506_rev_000684,7
P510506_rev_000540,7
P469087_rev_000743,10
P55978864_rev_000951,37
P510506_rev_000645,7
P55978864_rev_000830,37
P510506_rev_000687,7
P510506_rev_000663,7
P55978864_rev_000908,36
P510506_rev_000578,7
P55978864_rev_000817,36
P510506_rev_000648,7
P55978864_rev_000974,5
P510506_rev_000526,7
P510506_rev_000677,7
P55978864_rev_000930,36
P55978864_rev_000821,37
P510506_rev_000516,7
P510506_rev_000576,7
P510506_rev_000603,7
P510506_rev_000659,7
P55978864_rev_000893,37
P510506_rev_000562,7
P510506_rev_000582,7
P55978864_rev_000895,37
P510506_rev_000593,7
P55978864_rev_000917,37
P55978864_rev_000884,37
P55978864_rev_000903,37
P55978864_rev_000822,37
P510506_rev_000505,7
P55978864_rev_000834,36
P469087_rev_000742,10
P55978864_rev_000883,37
P55978864_rev_000920,36
P510506_rev_000618,7
P469087_rev_000713,10
P55978864_rev_000969,37
P510506_rev_000552,7
P510506_rev_000704,7
P510506_rev_000640,7
P510506_rev_000534,7
P510506_rev_000565,6
P55978864_rev_000947,37
P510506_rev_000617,7
P510506_rev_000627,7
P510506_rev_000680,7
P55978864_rev_000808,37
P55978864_rev_000970,37
P55978864_rev_000924,37
P55978864_rev_000911,37
P510506_rev_000515,7
P55978864_rev_000977,36
P55978864_rev_000869,36
P510506_rev_000595,7
P510506_rev_000694,7
P55978864_rev_000980,36
P55978864_rev_000863,37
P55978864_rev_000922,37
P55978864_rev_000829,-1
P55978864_rev_000862,37
P55978864_rev_000961,37
P510506_rev_000518,7
P55978864_rev_000918,30
P469087_rev_000752,10
P55978864_rev_000938,37
P55978864_rev_000996,36
P55978864_rev_000931,30
P469087_rev_000771,10
P469087_rev_000722,10
P510506_rev_000574,7
P55978864_rev_000877,5
P469087_rev_000732,10
P55978864_rev_000972,5
P510506_rev_000573,7
P510506_rev_000686,7
P469087_rev_000796,10
P55978864_rev_000858,36
P510506_rev_000508,7
P55978864_rev_000985,30
P55978864_rev_000856,37
P510506_rev_000681,7
P510506_rev_000594,7
P469087_rev_000785,10
P469087_rev_000773,10
P55978864_rev_000873,37
P510506_rev_000549,7
P510506_rev_000581,7
P55978864_rev_000865,37
P469087_rev_000768,10
P510506_rev_000539,7
P510506_rev_000660,7
P469087_rev_000790,10
P469087_rev_000753,10
P55978864_rev_000841,37
P55978864_rev_000993,-1
P510506_rev_000520,7
P510506_rev_000692,7
P55978864_rev_000973,37
P469087_rev_000727,10
P469087_rev_000763,10
P469087_rev_000721,10
P510506_rev_000513,7
P510506_rev_000529,7
P510506_rev_000673,7
P55978864_rev_000836,37
P510506_rev_000652,7
P510506_rev_000592,7
P510506_rev_000658,7
P510506_rev_000693,7
P55978864_rev_000976,37
P510506_rev_000628,7
P469087_rev_000738,10
P55978864_rev_000925,37
P55978864_rev_000916,37
P55978864_rev_000959,5
P55978864_rev_000966,37
P55978864_rev_000806,36
P55978864_rev_000995,30
P55978864_rev_000927,37
P55978864_rev_000902,37
P55978864_rev_000814,37
P55978864_rev_000975,37
P510506_rev_000504,7
P469087_rev_000740,10
P510506_rev_000650,7
P510506_rev_000679,7
P55978864_rev_000811,37
P55978864_rev_000929,37
P510506_rev_000670,7
P469087_rev_000720,10
P55978864_rev_000805,37
P510506_rev_000696,7
P510506_rev_000612,7
P55978864_rev_000936,37
P510506_rev_000596,7
P55978864_rev_000872,37
P55978864_rev_000986,36
P510506_rev_000626,7
P510506_rev_000589,7
P469087_rev_000751,10
P55978864_rev_000954,37
P469087_rev_000792,10
P469087_rev_000734,10
P510506_rev_000683,7
P510506_rev_000537,7
P510506_rev_000700,7
P510506_rev_000674,7
P55978864_rev_000953,37
P55978864_rev_000826,37
P55978864_rev_000945,37
P469087_rev_000778,10
P55978864_rev_000933,-1
P510506_rev_000706,7
P510506_rev_000563,7
P469087_rev_000744,10
P55978864_rev_000823,36
P510506_rev_000506,7
P469087_rev_000758,10
P469087_rev_000801,10
P510506_rev_000501,7
P510506_rev_000557,7
P510506_rev_000560,7
P469087_rev_000799,10
P510506_rev_000553,7
P469087_rev_000750,10
P469087_rev_000784,10
P469087_rev_000736,10
P510506_rev_000509,7
P55978864_rev_000849,37
P55978864_rev_000854,37
P510506_rev_000613,7
P510506_rev_000605,7
P510506_rev_000657,7
P55978864_rev_000904,36
P510506_rev_000607,7
P510506_rev_000503,7
P510506_rev_000610,7
P55978864_rev_000987,37
P510506_rev_000685,7
P510506_rev_000629,7
P510506_rev_000630,7
P510506_rev_000636,7
P510506_rev_000669,7
P469087_rev_000749,10
P469087_rev_000726,10
P510506_rev_000708,7
P55978864_rev_000910,37
P55978864_rev_000943,37
P55978864_rev_000882,37
P55978864_rev_000812,37
P55978864_rev_000874,37
P55978864_rev_000870,36
P510506_rev_000535,7
P469087_rev_000775,10
P510506_rev_000707,7
P55978864_rev_000857,37
P55978864_rev_000876,36
P510506_rev_000584,7
P510506_rev_000556,7
P510506_rev_000634,7
P469087_rev_000710,10
P55978864_rev_000912,37
P469087_rev_000741,10
P55978864_rev_000837,37
P469087_rev_000774,10
P510506_rev_000542,7
P510506_rev_000611,7
P55978864_rev_001000,-1
P55978864_rev_000889,36
P55978864_rev_000809,37
P55978864_rev_000847,37
P510506_rev_000543,7
P510506_rev_000625,7
P510506_rev_000572,7
P55978864_rev_000900,37
P55978864_rev_000940,37
P510506_rev_000536,7
P55978864_rev_000958,37
P510506_rev_000632,7
P55978864_rev_000906,37
P510506_rev_000682,7
P55978864_rev_000851,36
P55978864_rev_000855,37
P55978864_rev_000962,36
P510506_rev_000664,7
P510506_rev_000666,7
P55978864_rev_000978,-1
P55978864_rev_000827,37
P55978864_rev_000913,36
P469087_rev_000761,10
P510506_rev_000620,7
P510506_rev_000649,7
P510506_rev_000676,7
P510506_rev_000699,7
P469087_rev_000779,10
P55978864_rev_000901,37
P55978864_rev_000979,30
P55978864_rev_000881,37
P510506_rev_000532,7
P510506_rev_000561,7
P55978864_rev_000897,37
P55978864_rev_000998,36
P55978864_rev_000813,37
P510506_rev_000568,7
P55978864_rev_000868,37
P469087_rev_000730,10
P510506_rev_000602,7
P469087_rev_000723,10
P510506_rev_000525,7
P510506_rev_000554,7
P469087_rev_000788,10
P510506_rev_000538,7
P55978864_rev_000939,37
P469087_rev_000756,10
P510506_rev_000672,7
P55978864_rev_000825,37
P510506_rev_000577,7
P55978864_rev_000915,37
P510506_rev_000638,7
P469087_rev_000767,10
P510506_rev_000546,7
P510506_rev_000544,7
P510506_rev_000701,7
P510506_rev_000588,7
P510506_rev_000656,7
P469087_rev_000800,10
P510506_rev_000642,7
P55978864_rev_000994,37
P55978864_rev_000894,37
P55978864_rev_000932,37
P55978864_rev_000971,-1
P469087_rev_000729,10
P510506_rev_000528,7
P510506_rev_000511,7
P510506_rev_000675,7
P469087_rev_000747,10
P55978864_rev_000909,37
P55978864_rev_000963,37
P469087_rev_000794,10
P469087_rev_000760,10
P55978864_rev_000880,-1
P469087_rev_000759,10
P510506_rev_000655,7
P510506_rev_000678,7
P510506_rev_000598,7
P55978864_rev_000864,37
P55978864_rev_000839,37
P55978864_rev_000871,5
P469087_rev_000719,10
P55978864_rev_000896,37
P510506_rev_000570,7
P55978864_rev_000983,37
P55978864_rev_000892,37
P469087_rev_000777,10
P55978864_rev_000859,37
P469087_rev_000783,10
P469087_rev_000745,10
P510506_rev_000691,7
P510506_rev_000507,7
P510506_rev_000558,7
P510506_rev_000709,7
P510506_rev_000548,7
P55978864_rev_000942,37
P55978864_rev_000810,37
P510506_rev_000698,7
P510506_rev_000639,7
P55978864_rev_000853,37
P469087_rev_000737,10
P510506_rev_000564,7
P510506_rev_000590,7
P55978864_rev_000820,-1
P55978864_rev_000921,37
P55978864_rev_000886,37
P469087_rev_000718,10
P469087_rev_000797,10
P55978864_rev_000948,37
P469087_rev_000716,10
P510506_rev_000579,7
P510506_rev_000530,7
P55978864_rev_000888,37
P510506_rev_000622,7
P510506_rev_000615,7
P55978864_rev_000842,37
P510506_rev_000566,7
P510506_rev_000545,7
P469087_rev_000793,10
P469087_rev_000802,10
P510506_rev_000580,7
P55978864_rev_000819,37
P510506_rev_000606,7
P510506_rev_000654,7
P510506_rev_000637,7
P510506_rev_000644,7
P510506_rev_000635,7
P510506_rev_000646,7
P55978864_rev_000887,36
P469087_rev_000739,10
P55978864_rev_000818,37
P510506_rev_000695,7
P469087_rev_000728,10
P510506_rev_000690,7
P55978864_rev_000965,37
P510506_rev_000616,7
P510506_rev_000703,7
P469087_rev_000764,10
P55978864_rev_000878,37
P55978864_rev_000935,5
P55978864_rev_000850,37
P510506_rev_000527,7
P510506_rev_000624,7
P55978864_rev_000860,37
P469087_rev_000754,10
P510506_rev_000597,7
P510506_rev_000702,7
P510506_rev_000688,7
P55978864_rev_000967,37
P510506_rev_000531,7
P55978864_rev_000898,37
P55978864_rev_000905,37
P510506_rev_000667,7
P55978864_rev_000838,37
P510506_rev_000510,7
P510506_rev_000519,7
P510506_rev_000586,7
P510506_rev_000651,7
P55978864_rev_000968,37
P469087_rev_000735,10
P55978864_rev_000926,37
P469087_rev_000711,10
P55978864_rev_000956,37
P510506_rev_000614,7
P55978864_rev_000941,37
P469087_rev_000725,10
P469087_rev_000789,10
P510506_rev_000631,7
P510506_rev_000689,7
P469087_rev_000782,10
P510506_rev_000705,7
P55978864_rev_000840,37
P469087_rev_000746,10
P469087_rev_000766,10
P55978864_rev_000885,37
P510506_rev_000559,7
P55978864_rev_000803,37
P55978864_rev_000928,30
P469087_rev_000776,10
P55978864_rev_000981,37
P469087_rev_000755,10
P469087_rev_000765,10
P55978864_rev_000991,37
P55978864_rev_000848,37
P510506_rev_000653,7
P55978864_rev_000919,36
P469087_rev_000724,10
P510506_rev_000551,7
P55978864_rev_000845,37
P510506_rev_000585,7
P55978864_rev_000831,37
P469087_rev_000770,10
P510506_rev_000643,7
P510506_rev_000512,7
P510506_rev_000599,7
P55978864_rev_000852,30
P510506_rev_000521,7
P469087_rev_000798,10
P469087_rev_000769,10
P55978864_rev_000879,37
P510506_rev_000555,7
P469087_rev_000731,10
P469087_rev_000791,10
P469087_rev_000748,10
P55978864_rev_000944,37
P510506_rev_000591,7
P55978864_rev_000999,37
P55978864_rev_000934,37
P55978864_rev_000833,37
P55978864_rev_000832,37
P510506_rev_000550,7
P55978864_rev_000992,36
P55978864_rev_000815,37
P469087_rev_000772,10
P55978864_rev_000964,5
P510506_rev_000604,7
P510506_rev_000517,7
P510506_rev_000541,7
P469087_rev_000762,10
P469087_rev_000787,10
P469087_rev_000795,10
P510506_rev_000609,7
P469087_rev_000715,10
P55978864_rev_000937,37
P469087_rev_000733,10
P510506_rev_000668,7
P469087_rev_000717,10
P55978864_rev_000867,37
P510506_rev_000600,7
P55978864_rev_000988,37
P510506_rev_000523,7
P55978864_rev_000957,36
P510506_rev_000547,7
P510506_rev_000583,7
P55978864_rev_000955,36
P510506_rev_000697,7
P510506_rev_000671,7
P510506_rev_000647,7
P55978864_rev_000899,36
P55978864_rev_000946,37
P55978864_rev_000804,37
P55978864_rev_000984,37
P55978864_rev_001167,37
P55978864_rev_001468,37
P55978864_rev_001113,37
P55978864_rev_001277,37
P55978864_rev_001275,36
P55978864_rev_001243,37
P55978864_rev_001194,36
P55978864_rev_001184,37
P55978864_rev_001467,5
P55978864_rev_001067,36
P55978864_rev_001431,37
P55978864_rev_001309,37
P55978864_rev_001474,37
P55978864_rev_001192,37
P55978864_rev_001267,37
P55978864_rev_001144,37
P55978864_rev_001060,36
P55978864_rev_001287,37
P55978864_rev_001111,37
P55978864_rev_001279,37
P55978864_rev_001107,37
P55978864_rev_001180,-1
P55978864_rev_001481,30
P55978864_rev_001079,37
P55978864_rev_001082,37
P55978864_rev_001462,37
P55978864_rev_001076,37
P55978864_rev_001283,37
P55978864_rev_001315,37
P55978864_rev_001096,37
P55978864_rev_001457,37
P55978864_rev_001285,37
P55978864_rev_001178,37
